TODO,LOC,TODO/LOC,FILE
1,88,1.14%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/ClangPlugins/LambdaCapturePluginAction.cpp">Meta/Lagom/ClangPlugins/LambdaCapturePluginAction.cpp</a>
5,414,1.21%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/ClangPlugins/LibJSGCPluginAction.cpp">Meta/Lagom/ClangPlugins/LibJSGCPluginAction.cpp</a>
1,285,0.35%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Wasm/js_repl.cpp">Meta/Lagom/Wasm/js_repl.cpp</a>
1,25,4.00%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Fuzzers/FuzzCSSParser.cpp">Meta/Lagom/Fuzzers/FuzzCSSParser.cpp</a>
1,26,3.85%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Fuzzers/FuzzJs.cpp">Meta/Lagom/Fuzzers/FuzzJs.cpp</a>
1,179,0.56%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Fuzzers/FuzzilliJs.cpp">Meta/Lagom/Fuzzers/FuzzilliJs.cpp</a>
6,346,1.73%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/GMLCompiler/main.cpp">Meta/Lagom/Tools/CodeGenerators/GMLCompiler/main.cpp</a>
1,735,0.14%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/IPCCompiler/main.cpp">Meta/Lagom/Tools/CodeGenerators/IPCCompiler/main.cpp</a>
52,3706,1.40%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibWeb/BindingsGenerator/IDLGenerators.cpp">Meta/Lagom/Tools/CodeGenerators/LibWeb/BindingsGenerator/IDLGenerators.cpp</a>
1,172,0.58%,<a href="https://github.com/SerenityOS/serenity/blob/master/Meta/Lagom/Tools/CodeGenerators/LibWeb/BindingsGenerator/main.cpp">Meta/Lagom/Tools/CodeGenerators/LibWeb/BindingsGenerator/main.cpp</a>
