TODO,LOC,TODO/LOC,FILE
5,602,0.83%,AK/HashTable.h
1,193,0.52%,AK/OwnPtr.h
14,620,2.26%,AK/URLParser.cpp
2,382,0.52%,AK/DeprecatedString.cpp
1,163,0.61%,AK/LexicalPath.cpp
1,259,0.39%,AK/JsonValue.h
1,113,0.88%,AK/Singleton.h
11,771,1.43%,AK/UFixedBigInt.h
4,377,1.06%,AK/URL.cpp
1,126,0.79%,AK/Concepts.h
1,109,0.92%,AK/FPControl.h
1,231,0.43%,AK/Utf16View.cpp
7,681,1.03%,AK/Math.h
1,361,0.28%,AK/Atomic.h
4,1765,0.23%,AK/FloatingPointStringConversions.cpp
1,82,1.22%,AK/String.h
1,245,0.41%,AK/Complex.h
7,540,1.30%,AK/PrintfImplementation.h
1,509,0.20%,AK/RedBlackTree.h
3,178,1.69%,AK/CheckedFormatString.h
1,160,0.62%,AK/NonnullOwnPtr.h
1,146,0.68%,AK/FileStream.h
2,256,0.78%,AK/IPv6Address.h
2,306,0.65%,AK/DistinctNumeric.h
2,199,1.01%,AK/StringBuilder.cpp
1,231,0.43%,AK/NonnullRefPtr.h
3,629,0.48%,AK/Format.h
5,26,19.23%,AK/Assertions.h
1,233,0.43%,AK/Function.h
2,67,2.99%,AK/Statistics.h
1,581,0.17%,AK/StdLibExtraDetails.h
1,93,1.08%,AK/CircularDuplexStream.h
1,149,0.67%,AK/Buffered.h
1,295,0.34%,AK/JsonParser.cpp
2,509,0.39%,AK/StringUtils.cpp
1,299,0.33%,AK/RefPtr.h
3,376,0.80%,AK/DisjointChunks.h
1,74,1.35%,AK/NumberFormat.h
1,135,0.74%,AK/Error.h
5,221,2.26%,AK/MemoryStream.h
1,745,0.13%,AK/Vector.h
1,288,0.35%,AK/StringView.h
1,151,0.66%,AK/FixedArray.h
1,60,1.67%,AK/Memory.h
6,808,0.74%,AK/Format.cpp
1,76,1.32%,AK/SIMDMath.h
1,166,0.60%,AK/Platform.h
6,338,1.78%,AK/FixedPoint.h
1,101,0.99%,AK/SourceGenerator.h
2,14,14.29%,Ports/pkgconf/package.sh
1,37,2.70%,Ports/lite-xl/package.sh
